EVT-00001 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00021 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00022 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00023 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00024 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00025 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00026 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00027 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00028 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00029 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00030 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00031 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00032 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00033 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00034 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00035 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00036 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00037 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00038 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00039 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00040 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00041 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00042 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00043 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00044 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00045 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00046 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00047 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00048 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00049 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00050 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00051 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00052 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00053 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00054 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00055 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00056 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00057 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00058 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00059 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00060 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00061 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00062 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00063 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00064 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00065 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00066 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00067 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00068 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00069 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00070 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00071 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00072 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00073 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00074 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00075 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00076 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00077 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00078 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00079 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00080 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00081 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00082 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00083 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00084 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00085 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00086 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00087 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00088 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00089 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00090 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00091 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00092 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00093 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00094 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00095 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00096 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00097 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00098 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00099 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00100 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00101 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00102 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00103 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00104 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00105 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00106 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00107 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00108 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00109 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00110 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00111 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00112 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00113 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00114 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00115 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00116 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00117 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00118 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00119 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00120 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00121 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00122 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00123 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00124 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00125 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00126 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00127 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00128 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00129 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00130 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00131 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00132 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00133 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00134 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00135 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00136 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00137 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00138 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00139 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00140 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00141 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00142 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00143 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00144 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00145 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00146 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00147 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00148 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00149 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00150 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00151 | Action: FileBulkRename_Encrypted | File: archive.zip.locked | Entropy: 7.9 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00152 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00153 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00154 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
EVT-00155 | Action: FileOpen | File: document.docx | Entropy: 4.2 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00156 | Action: FileModify | File: budget.xlsx | Entropy: 4.8 | Incident_State: AUTHENTICATED_USER_I/O_ACTIVITY | CVSS_Threat: 0.0
EVT-00157 | Action: MassFileOverwrite | File: database.db.crypt | Entropy: 8.0 | Incident_State: CRITICAL_RANSOMWARE_ENCRYPTION_ATTACK | CVSS_Threat: 10.0
